                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92034,                0.66311,                0.99784,                0.99218,                      1,                  0.995,                0.71208,                0.90913,                 1.1331,                 1.0111,               0.006535,               0.006535,               0.006535
                     37,                 1.0251,                0.74443,                0.97357,                0.97517,                      1,                0.99457,                0.69995,                  1.048,                0.81171,                 1.1298,               0.006436,               0.006436,               0.006436
                     38,                 1.1901,                0.79388,                 1.0693,                0.94398,                      1,                0.99415,                0.56352,                 1.1748,                 1.3905,                  1.097,               0.006337,               0.006337,               0.006337
                     39,                 1.1869,                0.76238,                 1.0978,                0.97725,                      1,                  0.995,                  0.676,                0.94777,                0.83502,                 1.1386,               0.006238,               0.006238,               0.006238
                     40,                 1.0221,                0.65498,                 1.0489,                0.97725,                      1,                  0.995,                  0.676,                0.94777,                0.83502,                 1.1386,               0.006139,               0.006139,               0.006139
                     41,                 1.1361,                0.74098,                 1.1597,                0.91686,                      1,                0.99247,                0.56087,                 1.0855,                 1.1164,                 1.1434,                0.00604,                0.00604,                0.00604
                     42,                 1.0652,                0.68551,                 1.0753,                0.99516,                      1,                  0.995,                0.71781,                0.80766,                0.83822,                 1.0213,               0.005941,               0.005941,               0.005941
                     43,                0.97831,                0.66657,                 1.0134,                 0.9973,                      1,                  0.995,                0.63079,                 1.1094,                 0.6485,                 1.0926,               0.005842,               0.005842,               0.005842
                     44,                 1.0527,                0.71458,                 1.0667,                 0.9973,                      1,                  0.995,                0.63079,                 1.1094,                 0.6485,                 1.0926,               0.005743,               0.005743,               0.005743
                     45,                 1.0624,                0.70936,                 1.0071,                0.99781,                      1,                  0.995,                0.69645,                0.86366,                0.81486,                  1.008,               0.005644,               0.005644,               0.005644
                     46,                  1.059,                0.68475,                 1.0281,                0.97855,                0.99207,                0.99415,                0.67886,                0.89477,                0.69457,                0.99707,               0.005545,               0.005545,               0.005545
                     47,                0.90606,                0.68102,                0.97061,                0.97315,                      1,                  0.995,                0.69276,                0.87957,                0.99421,                 1.0672,               0.005446,               0.005446,               0.005446
                     48,                0.92154,                0.76362,                 1.0067,                0.97315,                      1,                  0.995,                0.69276,                0.87957,                0.99421,                 1.0672,               0.005347,               0.005347,               0.005347
                     49,                0.84668,                0.72626,                0.97024,                 0.9947,                      1,                  0.995,                0.78385,                0.82121,                0.54206,                0.97847,               0.005248,               0.005248,               0.005248
                     50,                0.92583,                0.70257,                 0.9865,                0.99813,                      1,                  0.995,                0.75293,                0.88135,                0.64093,                  1.072,               0.005149,               0.005149,               0.005149
                     51,                0.89587,                0.59426,                 1.0029,                 0.9976,                      1,                  0.995,                0.73535,                 0.8981,                0.64181,                 1.0571,                0.00505,                0.00505,                0.00505
                     52,                0.91453,                0.55859,                 1.0038,                 0.9976,                      1,                  0.995,                0.73535,                 0.8981,                0.64181,                 1.0571,               0.004951,               0.004951,               0.004951
                     53,                0.87526,                0.55931,                0.96169,                0.99787,                      1,                  0.995,                0.75017,                0.91596,                0.67717,                 1.0126,               0.004852,               0.004852,               0.004852
                     54,                 0.8756,                0.57306,                0.94404,                0.99757,                      1,                  0.995,                 0.7377,                0.87692,                0.55169,                0.99432,               0.004753,               0.004753,               0.004753
                     55,                0.89131,                0.65211,                0.94562,                0.94316,                      1,                0.98864,                0.76213,                 0.8814,                0.69321,                 1.0091,               0.004654,               0.004654,               0.004654
                     56,                0.89883,                0.60393,                 0.9639,                0.94316,                      1,                0.98864,                0.76213,                 0.8814,                0.69321,                 1.0091,               0.004555,               0.004555,               0.004555
                     57,                0.89007,                0.56438,                0.98066,                0.99765,                      1,                  0.995,                0.75128,                0.85448,                0.58202,                0.97127,               0.004456,               0.004456,               0.004456
                     58,                0.85281,                0.53864,                 0.9545,                0.99853,                      1,                  0.995,                0.78518,                0.86696,                 0.5933,                 1.0171,               0.004357,               0.004357,               0.004357
                     59,                0.86265,                0.55447,                 0.9657,                0.99851,                      1,                  0.995,                0.79865,                0.76519,                0.54747,                0.97214,               0.004258,               0.004258,               0.004258
                     60,                0.81842,                0.52814,                0.93098,                0.99851,                      1,                  0.995,                0.79865,                0.76519,                0.54747,                0.97214,               0.004159,               0.004159,               0.004159
                     61,                0.85335,                0.52708,                0.96478,                 0.9987,                      1,                  0.995,                0.71603,                0.98237,                0.65494,                 1.1511,                0.00406,                0.00406,                0.00406
                     62,                  0.899,                0.51543,                0.99792,                0.99838,                      1,                  0.995,                 0.8169,                0.74682,                0.48296,                0.98054,               0.003961,               0.003961,               0.003961
                     63,                0.75481,                0.48734,                0.89684,                0.99873,                      1,                  0.995,                0.72929,                0.80885,                0.58273,                0.98568,               0.003862,               0.003862,               0.003862
                     64,                 0.8862,                0.54681,                0.96096,                0.99873,                      1,                  0.995,                0.72929,                0.80885,                0.58273,                0.98568,               0.003763,               0.003763,               0.003763
                     65,                0.88083,                 0.5196,                0.92147,                0.99874,                      1,                  0.995,                0.77005,                0.90168,                0.53151,                 0.9812,               0.003664,               0.003664,               0.003664
                     66,                0.83669,                0.50124,                0.97317,                0.99867,                      1,                  0.995,                0.80395,                0.74326,                0.48405,                0.95395,               0.003565,               0.003565,               0.003565
                     67,                0.79429,                0.51146,                0.93391,                0.99866,                      1,                  0.995,                0.77532,                0.79576,                0.45553,                0.95572,               0.003466,               0.003466,               0.003466
                     68,                 0.8243,                0.49682,                0.93107,                0.99866,                      1,                  0.995,                0.77532,                0.79576,                0.45553,                0.95572,               0.003367,               0.003367,               0.003367
                     69,                0.77866,                0.49118,                0.87956,                0.99873,                      1,                  0.995,                0.75803,                  0.838,                 0.4954,                0.96808,               0.003268,               0.003268,               0.003268
                     70,                0.88813,                0.52624,                0.94497,                0.99848,                      1,                  0.995,                0.81523,                0.76501,                0.47421,                0.95775,               0.003169,               0.003169,               0.003169
                     71,                0.81664,                0.48405,                0.92329,                0.99847,                      1,                  0.995,                0.79674,                0.76537,                0.52542,                0.94785,                0.00307,                0.00307,                0.00307
                     72,                0.75805,                0.50218,                0.91245,                0.99847,                      1,                  0.995,                0.79674,                0.76537,                0.52542,                0.94785,               0.002971,               0.002971,               0.002971
                     73,                0.75792,                 0.4872,                0.90154,                 0.9986,                      1,                  0.995,                0.77831,                0.82317,                0.53931,                0.96468,               0.002872,               0.002872,               0.002872
                     74,                0.77628,                0.47628,                0.87063,                0.99861,                      1,                  0.995,                0.82742,                0.67724,                0.44237,                 0.9236,               0.002773,               0.002773,               0.002773
                     75,                0.77219,                0.47645,                0.90995,                0.99867,                      1,                  0.995,                0.79334,                0.74689,                 0.4487,                0.94719,               0.002674,               0.002674,               0.002674
